"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g1575.t1.CDS2",196.476194799703,6.27480492863116,1.00869547024895,6.22071290464157,4.94901007716148e-10,3.27404511104661e-08
"g2413.t1.CDS3",56.4157648896177,-7.67741743560209,1.23733857124777,-6.20478308363082,5.47723973468814e-10,3.54472667177535e-08
"g198.t1.CDS1",326.155297009869,-4.64235297379085,0.749994227217382,-6.18985160861149,6.02208797552354e-10,3.81441614960289e-08
"g2411.t1.CDS1",88.1369352147045,-4.5105378661656,0.731563839281818,-6.16561074231558,7.02116110954262e-10,4.35458262981424e-08
"g1067.t1.CDS2",111.286734529424,-5.36321189765933,0.870692550283354,-6.15970803461446,7.28791835954244e-10,4.42778223599139e-08
"g660.t1.CDS1",382.058275036174,5.08919969536351,0.830039788846315,6.13127197484963,8.71792208451436e-10,5.19065080911985e-08
"g2394.t1.CDS6",57.5336640731263,-4.82519427576771,0.792214258592342,-6.09076928802245,1.12369393396058e-09,6.55928792431501e-08
"g17.t1.CDS12",1797.22307875412,-9.56114782756611,1.58675106994962,-6.02561297019936,1.68469893255988e-09,9.6449013889053e-08
"g2319.t1.CDS1",333.752572200078,-5.34020011150987,0.890030721023885,-6.00001773575472,1.9729597808064e-09,1.10820778631333e-07
"g2898.t1.CDS1",173.234376241537,-4.00288542650267,0.670263203666839,-5.97210976912338,2.34204854160204e-09,1.29116268673134e-07
"g1974.t1.CDS3",283.258632288257,7.33011942746799,1.22999585957445,5.95946674975313,2.53062344814956e-09,1.36975745548022e-07
"g313.t1.CDS6",43.4051902025695,5.93965739465707,0.997480477414124,5.95466029576346,2.60612584251041e-09,1.38543511306312e-07
"g2898.t1.CDS6",44.6690805617441,-5.47671177176653,0.923034511841048,-5.93337703142096,2.96766287340494e-09,1.54995304809237e-07
"g2746.t1.CDS12",136.321079409788,-4.02523791458262,0.680294747965671,-5.91690282281254,3.28060385341792e-09,1.68385477096985e-07
"g2343.t1.CDS14",73.4658633756304,4.31834861340338,0.731019456775712,5.9072964110288,3.47767698047486e-09,1.75475328319893e-07
"g1979.t1.CDS1",3011.01819466881,7.14453047518211,1.21040487358607,5.90259559515402,3.5782665029848e-09,1.77541656323096e-07
"g1652.t1.CDS11",63.9292159868415,3.74293979379326,0.641416772342074,5.83542550676724,5.36534642416801e-09,2.6184649679915e-07
"g1157.t1.CDS1",353.578721085742,-2.29430992045854,0.39426022880478,-5.81927811337669,5.91023241989724e-09,2.79281935143398e-07
"g2383.t1.CDS1",45.9554816760596,7.23594924108152,1.24334243898375,5.81975569578068,5.89337033279362e-09,2.79281935143398e-07
"g313.t1.CDS2",40.5475458281415,5.10394240526784,0.879698517788015,5.80192225184328,6.55589607146946e-09,3.04951603199447e-07
"g231.t1.CDS1",34.8278773111533,7.83697279386026,1.35211040697873,5.79610418898545,6.78731062408809e-09,3.10858826583235e-07
"g714.t1.CDS4",18.9927298501134,-8.62739187257299,1.49160439600155,-5.783967850792,7.29588915210838e-09,3.29088818270101e-07
"g2540.t1.CDS8",41.8687731298188,4.04050738398072,0.701427785949367,5.76040394309727,8.39128737200694e-09,3.72848694126338e-07
"g3035.t1.CDS13",22.639286042599,8.18578630303461,1.42771307013958,5.73349538800142,9.83817426495041e-09,4.30709482158197e-07
"g2717.t1.CDS5",99.1489521842406,3.87755648422311,0.676950910025697,5.72797292506175,1.01637782603085e-08,4.38515476535338e-07
"g2898.t1.CDS3",57.6297385885968,-5.40415339756936,0.943952224970773,-5.72502850738731,1.03416373856609e-08,4.3858822248904e-07
"g2898.t1.CDS7",45.8661625335836,-4.41556247058129,0.771534108138042,-5.72309431819864,1.04601154842868e-08,4.3858822248904e-07
"g256.t1.CDS2",98.0247550932602,6.65015133851561,1.16357053452459,5.71529713171427,1.09512499243111e-08,4.52803764231587e-07
"g1771.t1.CDS1",433.309663477159,5.6298602978725,0.991614161275035,5.6774706511185,1.36700971530876e-08,5.57477797599201e-07
"g313.t1.CDS7",49.8354588191787,5.09206410518218,0.903260795610995,5.63742401964622,1.72612723465404e-08,6.94416321292576e-07
"g1393.t1.CDS1",33.3014830385851,7.28207824175244,1.2950501688916,5.62300860358557,1.87660051373153e-08,7.44885297250504e-07
"g2581.t1.CDS8",20.2485437733984,8.02458636230229,1.43427676886224,5.59486602342999,2.2079220077019e-08,8.64866291701128e-07
